nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason
Phosphoric acid,E338,SAFE,0.1522,1.0,7582,1417,0.187,55.0,Low negative evidence
Beetroot red,E162,SAFE,0.0674,0.23,132,44,0.338,68.0,Low negative evidence
flavin mononucleotide,E106,DANGEROUS,0.5644,1.0,3527,2089,0.592,31.0,High negative evidence
Oxygen,E948,DANGEROUS,0.4806,1.0,396131,206799,0.522,41.0,High negative evidence
Quillaia extract,E999,SAFE,0.0202,0.08,17,3,0.195,38.0,Low negative evidence
Dipotassium tartrate,E336II,UNKNOWN,0.0094,0.03,5,3,0.6,50.0,Insufficient research (5 papers)
carotene,E160A,DANGEROUS,0.4405,1.0,11499,6748,0.587,53.0,High negative evidence
Tocopherol-rich extract,E306,SAFE,0.0581,0.18,81,32,0.395,59.0,Low negative evidence
Gardenia Blue,E165,SAFE,0.0976,0.26,175,63,0.365,67.0,Low negative evidence
Potassium malate,E351,SAFE,0.0679,0.18,77,33,0.437,64.0,Low negative evidence
Sodium fumarate,E365,SAFE,0.0674,0.18,79,33,0.422,53.0,Low negative evidence
Brilliant black bn,E151,SAFE,0.0677,0.25,160,61,0.383,71.0,Low negative evidence
Rubixanthin,E161D,SAFE,0.0276,0.08,16,5,0.36,60.0,Low negative evidence
Sodiumglycinate,E640II,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found
Magnesium silicates,E553,SAFE,0.1238,0.45,506,145,0.288,43.0,Low negative evidence
Alpha-Amylase,E1100,DANGEROUS,0.4911,1.0,9937,5025,0.506,37.0,High negative evidence
Hydrogenated poly-1-decene,E907,SAFE,0.0465,0.08,16,8,0.552,50.0,Low negative evidence
Calcium stearoyl-2-lactylate,E482,SAFE,0.0639,0.13,40,12,0.313,50.0,Low negative evidence
Sulphite ammonia caramel,E150D,SAFE,0.0501,0.07,13,8,0.635,50.0,Low negative evidence
Carotenoids,E160,DANGEROUS,0.5282,1.0,22152,12471,0.563,47.0,High negative evidence
Magnesium hydroxide carbonate,E504II,SAFE,0.0674,0.39,381,69,0.181,42.0,Low negative evidence
Calcium inosinate,E633,WATCHLIST,0.2169,0.4,392,206,0.526,22.0,Moderate concerns (SSI: 21.7%)
Ammonium acetate,E264,WATCHLIST,0.2682,1.0,3254,1179,0.363,42.0,Moderate concerns (SSI: 26.8%)
Polyoxyethylene sorbitan monopalmitate,E434,SAFE,0.0474,0.12,36,19,0.548,66.0,Low negative evidence
Lanolin,E913,SAFE,0.127,0.34,291,68,0.236,52.0,Low negative evidence
Polyvinylpyrrolidone-vinyl acetate copolymer,E1208,SAFE,0.0235,0.08,18,4,0.258,55.0,Low negative evidence
Desconocido,E364,SAFE,0.1052,0.23,133,64,0.481,82.0,Low negative evidence
synthetic magnesium silicates,E553A,SAFE,0.0672,0.16,65,32,0.502,37.0,Low negative evidence
Ferrous lactate,E585,SAFE,0.0358,0.14,50,21,0.422,50.0,Low negative evidence
Sodium stearoyl fumarate,E485,SAFE,0.0529,0.14,46,14,0.318,57.0,Low negative evidence
sodium thiosulfate,E539,WATCHLIST,0.2923,0.54,738,325,0.441,40.0,Moderate concerns (SSI: 29.2%)
Pectin,E440A,DANGEROUS,0.3938,1.0,8879,3456,0.389,30.0,High negative evidence
Bleached starch,E1403,SAFE,0.0614,0.19,95,34,0.361,45.0,Low negative evidence
Ammonium phosphatides,E442,SAFE,0.0339,0.14,48,15,0.323,58.0,Low negative evidence
Peonidin,E163E,SAFE,0.132,0.44,490,185,0.378,53.0,Low negative evidence
Bone phosphate,E542,SAFE,0.0613,0.15,58,21,0.377,45.0,Low negative evidence
Paprika extract,E160C,UNKNOWN,0.0107,0.02,9,3,0.373,20.0,Insufficient research (9 papers)
Sodium adipate,E356,SAFE,0.039,0.15,57,17,0.309,53.0,Low negative evidence
Ammonium sulphate,E517,DANGEROUS,0.5099,0.98,2414,1119,0.464,31.0,High negative evidence
Tara gum,E417,SAFE,0.043,0.2,103,23,0.224,44.0,Low negative evidence
Anoxomer,E323,SAFE,0.0633,0.18,79,31,0.394,70.0,Low negative evidence
Sodium ascorbate,E301,WATCHLIST,0.2026,0.54,725,311,0.43,45.0,Moderate concerns (SSI: 20.3%)
Disodium citrate,E331II,SAFE,0.008,0.04,10,1,0.18,33.0,Low negative evidence
Riboflavin,E101,DANGEROUS,0.6699,1.0,8742,4764,0.545,47.0,High negative evidence
Amaranth,E123,WATCHLIST,0.2912,0.83,1725,618,0.359,45.0,Moderate concerns (SSI: 29.1%)
Glycerol esters of wood rosin,E445,SAFE,0.0588,0.16,64,26,0.41,48.0,Low negative evidence
Mannitol,E421,DANGEROUS,0.5214,1.0,10314,5252,0.509,26.0,High negative evidence
Ammonium carbonates,E503,DANGEROUS,0.3812,1.0,12151,4780,0.393,28.0,High negative evidence
Aluminium sodium sulphate,E521,SAFE,0.017,0.12,37,7,0.215,62.0,Low negative evidence
Ammonium alginate,E403,SAFE,0.0521,0.16,67,25,0.376,64.0,Low negative evidence
Ammonium polyphosphate,E545,SAFE,0.0727,0.38,366,34,0.095,60.0,Low negative evidence
Thaumatin,E957,SAFE,0.1058,0.48,570,191,0.336,43.0,Low negative evidence
Monopotassium citrate,E332I,SAFE,0.0121,0.03,10,4,0.4,14.0,Low negative evidence
Polyglycitol syrup,E964,SAFE,0.0136,0.08,15,5,0.352,54.0,Low negative evidence
Acetylated distarch glycerol,E1423,SAFE,0.0193,0.07,11,3,0.303,67.0,Low negative evidence
Dicalcium diphosphate,E540,SAFE,0.0518,0.12,36,17,0.494,47.0,Low negative evidence
Hydroxy propyl distarch glycerine,E1441,UNKNOWN,0.0048,0.06,9,0,0.089,60.0,Insufficient research (9 papers)
Pectins,E440,DANGEROUS,0.4003,1.0,5577,2496,0.448,32.0,High negative evidence
Extracts of rosemary,E392,SAFE,0.0399,0.16,64,16,0.257,58.0,Low negative evidence
E101a food additive,E101A,UNKNOWN,0.0394,0.04,7,8,1.179,50.0,Insufficient research (7 papers)
Advantame,E969,SAFE,0.0563,0.13,42,18,0.442,61.0,Low negative evidence
Monosodium tartrate,E335I,UNKNOWN,0.0773,0.04,9,8,0.919,27.0,Insufficient research (9 papers)
Calcium benzoate,E213,SAFE,0.0716,0.22,122,44,0.361,75.0,Low negative evidence
Dipotassium guanylate,E628,SAFE,0.0393,0.09,20,6,0.309,60.0,Low negative evidence
Natamycin,E235,SAFE,0.1512,0.43,464,160,0.346,48.0,Low negative evidence
Magnesium trisilicate,E553AII,SAFE,0.116,0.33,276,87,0.316,38.0,Low negative evidence
Ethyl methyl cellulose,E465,SAFE,0.0571,0.13,41,18,0.449,63.0,Low negative evidence
Metatartaric acid,E353,SAFE,0.0667,0.19,92,33,0.363,62.0,Low negative evidence
Silicon dioxide,E551,WATCHLIST,0.2429,1.0,26555,7173,0.27,48.0,Moderate concerns (SSI: 24.3%)
Triphosphates,E451,DANGEROUS,0.6981,1.0,4116,2621,0.637,30.0,High negative evidence
Pelargonidin,E163D,SAFE,0.1952,0.48,587,277,0.474,47.0,Low negative evidence
Vegetable carbon,E153,SAFE,0.0876,0.26,170,61,0.359,74.0,Low negative evidence
Ponceau 6R,E126,SAFE,0.0901,0.26,170,70,0.415,66.0,Low negative evidence
Litholrubine bk,E180,SAFE,0.0443,0.23,136,33,0.245,76.0,Low negative evidence
Sodium orthophenyl phenol,E232,SAFE,0.0474,0.2,99,29,0.299,76.0,Low negative evidence
Agar,E406,DANGEROUS,0.412,1.0,46657,19234,0.412,40.0,High negative evidence
Desconocido,E389,SAFE,0.0931,0.24,142,55,0.388,88.0,Low negative evidence
Ethyl cellulose,E462,SAFE,0.0802,0.47,556,83,0.151,40.0,Low negative evidence
Triammonium citrate,E380,SAFE,0.0524,0.17,73,26,0.37,62.0,Low negative evidence
potassium lactate,E326,SAFE,0.0368,0.26,175,38,0.222,39.0,Low negative evidence
Boric acid,E284,WATCHLIST,0.3013,0.95,2250,670,0.298,42.0,Moderate concerns (SSI: 30.1%)
Propane-1‚2-diol esters of fatty acids,E477,SAFE,0.0538,0.15,54,22,0.413,73.0,Low negative evidence
Potassium gluconate,E577,SAFE,0.074,0.2,105,39,0.376,25.0,Low negative evidence
Calcium ferrocyanide,E538,SAFE,0.099,0.19,88,35,0.401,32.0,Low negative evidence
Azodicarbonamide,E927A,SAFE,0.0933,0.2,97,48,0.495,54.0,Low negative evidence
Potassium hydrogen sulphate,E515II,SAFE,0.1439,0.38,358,153,0.428,34.0,Low negative evidence
Sodium phosphates,E339,SAFE,0.0631,0.19,94,29,0.316,67.0,Low negative evidence
Fatty acid methyl ester,E911,SAFE,0.1775,0.6,908,373,0.412,37.0,Low negative evidence
D-Maltitol,E965I,UNKNOWN,0.0,0.01,1,1,1.04,20.0,Insufficient research (1 papers)
Hydrogen,E949,WATCHLIST,0.3273,1.0,504075,194139,0.385,35.0,Moderate concerns (SSI: 32.7%)
Calcium disodium ethylenediaminetetraacetate,E385,SAFE,0.0534,0.16,67,26,0.391,52.0,Low negative evidence
Ascorbyl stearate,E304II,UNKNOWN,0.0584,0.04,7,5,0.814,33.0,Insufficient research (7 papers)
Orcein,E182,SAFE,0.1637,0.41,425,132,0.311,51.0,Low negative evidence
Propyl para-hydroxybenzoate,E216,SAFE,0.0364,0.21,106,25,0.24,60.0,Low negative evidence
L(+)-tartaric acid,E334,SAFE,0.0932,0.36,324,106,0.327,55.0,Low negative evidence
Potassium silicate,E560,SAFE,0.0704,0.25,151,37,0.251,39.0,Low negative evidence
Biphenyl,E230,DANGEROUS,0.3827,1.0,15416,6891,0.447,30.0,High negative evidence
Azodicarbonamide and Carbamide,E927,SAFE,0.0383,0.11,28,10,0.391,56.0,Low negative evidence
concentrated tocopherol,E307B,DANGEROUS,0.441,1.0,3935,2541,0.646,37.0,High negative evidence
Cellulose,E460,DANGEROUS,0.4778,1.0,80360,29295,0.365,31.0,High negative evidence
Rebaudioside from multiple gene donors expressed in Yarrowia lipolityca,E960B,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found
Propane,E944,WATCHLIST,0.2388,1.0,7350,2189,0.298,36.0,Moderate concerns (SSI: 23.9%)
Plant carotenes,E160AII,DANGEROUS,0.5195,1.0,18871,12300,0.652,45.0,High negative evidence
Disodium inosinate,E631,SAFE,0.0676,0.11,33,20,0.626,53.0,Low negative evidence
