id,codigo_e,nombre_limpio,pubchem_cid,pubchem_synonyms
en:e905d,E905D,Mineral oil high viscosity,,
en:e650,E650,Zinc acetate,11192.0,ZINC ACETATE|557-34-6|Zinc diacetate|Zinc(II) acetate|Dicarbomethoxyzinc
en:e535,E535,Sodium ferrocyanide,,
en:e901,E901,white and yellow beeswax,,
en:e473a,E473A,Oligoesters of sucrose type I,,
en:e265,E265,Dehydroacetic acid,5523.0,2914-77-4|2-[(Dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexanol|CHEBI:75722|2-((Dimethylamino)methyl)-1-(3-methoxyphenyl)cyclohexanol|RefChem:1060573
en:e435,E435,Polyoxyethylene sorbitan monostearate,22833389.0,"(2R)-2-[(2R,3R,4S)-3,4-bis(2-hydroxyethoxy)oxolan-2-yl]-2-hydroxyethyl dodecanoate|Polysorbata 60|(2R)-2-((2R,3R,4S)-3,4-bis(2-hydroxyethoxy)oxolan-2-yl)-2-hydroxyethyl dodecanoate|RefChem:1096504|DTXSID9029300"
en:e141ii,E141II,Copper complexes of chlorophyllins,,
en:e923,E923,ammonium persulfate,,
en:e322ii,E322II,Partially hydrolyzed lecithin,,
en:e340i,E340I,Monopotassium phosphate,,
en:e956,E956,Alitame,,
en:e468,E468,Cross-linked sodium carboxymethylcellulose,,
en:e238,E238,Calcium formiate,10997.0,"CALCIUM FORMATE|544-17-2|Calcium diformate|Calcoform|Formic acid, calcium salt"
en:e484,E484,Stearyl citrate,,
en:e1410,E1410,Monostarch phosphate,4153905.0,2-Ethynylaniline|52670-38-9|DTXSID30399999|RefChem:87028|DTXCID00350855
en:e307c,E307C,DL-Alpha-tocopherol,,
en:e140i,E140I,Chlorophylls,,
en:e960c,E960C,Enzymatically produced steviol glycosides,92023628.0,REBAUDIOSIDE M|1220616-44-3|rebaudioside X|Fema No. 4895|Fema No. 4922
en:e262,E262,Sodium acetates,517045.0,"Sodium acetate|127-09-3|Acetic acid, sodium salt|Sodium acetate anhydrous|Sodium acetate, anhydrous"
en:e432,E432,Polyoxyethylene sorbitan monolaurate,443314.0,"1052273-76-3|DTXSID60922815|2-{2-[3,4-Bis(2-hydroxyethoxy)tetrahydro-2-furanyl]-2-(2-hydroxyethoxy)ethoxy}ethyl dodecanoate|2-(2-(3,4-Bis(2-hydroxyethoxy)tetrahydro-2-furanyl)-2-(2-hydroxyethoxy)ethoxy)ethyl dodecanoate|RefChem:1060798"
en:e1200,E1200,Polydextrose,,
en:e171,E171,Titanium dioxide,26042.0,TITANIUM DIOXIDE|13463-67-7|Titania|Titanium(IV) oxide|Titanium White
en:e473,E473,Sucrose esters of fatty acids,,
en:e573,E573,Aluminium stearate,,
en:e501i,E501I,Potassium carbonate,,
en:e369,E369,Alanin,,
en:e160aiv,E160AIV,Algal carotenes,,
en:e1504,E1504,ethyl acetate,8857.0,ETHYL ACETATE|141-78-6|Ethyl ethanoate|Acetic acid ethyl ester|Vinegar naphtha
en:e164,E164,saffron,,
en:e260,E260,Acetic acid,176.0,acetic acid|64-19-7|ethanoic acid|Vinegar acid|Acetic acid glacial
en:e430,E430,Polyoxyethylene (8) stearate,,
en:e450vii,E450VII,Calcium dihydrogen diphosphate,,
en:e530,E530,Magnesium oxide,14792.0,Magnesia|Granmag|Heavy magnesium oxide|Calcined magnesia|Seawater magnesia
en:e1505,E1505,Triethyl citrate,6506.0,TRIETHYL CITRATE|77-93-0|Ethyl citrate|Citroflex 2|Eudraflex
en:e388,E388,Thiodipropionic acid,8096.0,"3,3'-Thiodipropionic acid|111-17-1|THIODIPROPIONIC ACID|Tyox A|TDPA"
en:e416,E416,Karaya-gum,,
en:e516,E516,Calcium sulphate,,
en:e500ii,E500II,Sodium hydrogen carbonate,,
en:e357,E357,Potassium adipate,,
en:e290,E290,Carbon dioxide,280.0,carbon dioxide|carbonic anhydride|124-38-9|carbonic acid gas|Carbonic acid anhydride
en:e201,E201,Sodium sorbate,,
en:e905ci,E905CI,Microcrystalline wax,,
en:e339i,E339I,Monosodium phosphate,,
en:e965,E965,maltitol,493591.0,maltitol|585-88-6|D-Maltitol|4-O-alpha-D-Glucopyranosyl-D-glucitol|Amalty MR 100
en:e223,E223,Sodium metabisulphite,656671.0,Sodium metabisulfite|7681-57-4|Sodium pyrosulfite|Sodium disulfite|Disodium pyrosulfite
en:e1451,E1451,Acetylated oxidised starch,9917980.0,"Secoisolariciresinol diglucoside|158932-33-3|(R,R)-Secoisolariciresinol diglucoside|Bmhb-diglc|T9281L29MV"
en:e951,E951,Aspartame,,
en:e962,E962,Salt of aspartame-acesulfame,,
en:e1443,E1443,Hydroxy propyl distarch glycerol,9568613.0,Esomeprazole magnesium|Nexium 24hr|925R0D7W1O|CHEBI:50309|Esomeprazole Dr
en:e906,E906,Benzoin resin,,
en:e460i,E460I,Microcrystalline cellulose,,
en:e399,E399,Calcium lactobionate,,
en:e307a,E307A,D-Alpha-tocopherol,,
en:e960a,E960A,Steviol glycosides from Stevia,,
en:e160bii,E160BII,Annatto norbixin,,
en:e938,E938,Argon,23968.0,"ARGON|7440-37-1|Argon-40|Argon, Elemental|67XQY1V3KH"
xx:e390,E390,Desconocido,,
en:e1421,E1421,Acetylated starch,139144.0,m-ethynylphenol|RefChem:94376|3-Ethynylphenol|10401-11-3|3-Hydroxyphenylacetylene
en:e452ii,E452II,Potassium polyphosphate,,
en:e511,E511,Magnesium chloride,,
en:e411,E411,E411 food additive,,
en:e440aiv,E440AIV,Ammonium Pectate,,
en:e472e,E472E,Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,,
en:e451i,E451I,Pentasodium triphosphate,,
en:e160f,E160F,Ethyl ester of beta-apo-8'-carotenic acid (C 30),,
en:e313,E313,Ethyl gallate,13250.0,"ETHYL GALLATE|831-61-8|Ethyl 3,4,5-trihydroxybenzoate|Benzoic acid, 3,4,5-trihydroxy-, ethyl ester|235I6UDD3L"
en:e960,E960,Steviol glycosides,,
en:e427,E427,Cassia gum,,
en:e527,E527,Ammonium hydroxide,14923.0,ammonium hydroxide|1336-21-6|Ammonia water|Ammonia aqueous|Aquammonia
en:e107,E107,Yellow 2G,2724092.0,"disodium 2,5-dichloro-4-{5-hydroxy-3-methyl-4-[(4-sulfonatophenyl)diazenyl]-1H-pyrazol-1-yl}benzene-1-sulfonate|Acid Yellow 17 (Technical Grade)|Disodium;2,5-dichloro-4-[5-methyl-3-oxo-4-[(4-sulfonatophenyl)diazenyl]-1H-pyrazol-2-yl]benzenesulfonate|E 107|Acid Fast Yellow G"
en:e470aiii,E470AIII,Calcium salts of fatty acids,,
en:e450ii,E450II,Trisodium diphosphate,,
en:e544,E544,Calcium polyphosphate,,
en:e307,E307,Alpha-tocopherol,14985.0,"VITAMIN E|5,7,8-Trimethyltocol|Vitamin-E|1406-18-4|Vitamin e d-alpha"
en:e1401,E1401,Acid-treated modified starch,,
en:e444,E444,Sucrose acetate isobutyrate,31339.0,"SAIB|Sucrose acetoisobutyrate|SAIB 100S|Sucrose, diacetate hexaisobutyrate|H5KI1C3YTV"
en:e927b,E927B,Carbamide,1176.0,urea|57-13-6|carbamide|Carbonyldiamide|Ureophil
en:e1430,E1430,Distarch glycerine,11474262.0,"53721-12-3|1,1'-Diethyl-4,4'-bipyridinium dibromide|DTXSID40467092|RefChem:212348|DTXCID40417911"
en:e332,E332,Potassium citrates,,
en:e514ii,E514II,Sodium hydrogen sulphate,,
en:e14xx,E14XX,Modified Starch,,
en:e132,E132,Indigotine,,
en:e917,E917,potassium iodate,491775.0,"E917|SCHEMBL6012743|CHEMBL1188807|BDBM50190520|1-Butyl-3-isobutyl-9-(4-phenoxybenzyl)-1,4,9-triazaspiro[5.5]undecane-2,5-dione"
en:e368,E368,ammonium fumarate,9793847.0,"Diammonium fumarate|ammonium fumarate|YG927OP0BK|2-Butenedioic acid (2E)-, diammonium salt|DTXSID4029307"
en:e440i,E440I,non-amidated pectines,,
en:e450v,E450V,Tetrapotassium diphosphate,,
en:e384,E384,Isopropyl citrates,,
en:e226,E226,Calcium sulphite,3708.0,Indirubin-5-sulfonate|244021-67-8|RefChem:790921|indirubin-5-sulphonate|CHEMBL1207227
en:e942,E942,Nitrous oxide,948.0,nitrous oxide|Laughing gas|Dinitrogen oxide|Dinitrogen monoxide|Factitious air
en:e280,E280,Propionic acid,1032.0,propionic acid|Propanoic acid|79-09-4|methylacetic acid|ethylformic acid
en:e470ai,E470AI,Sodium salts of fatty acids,,
en:e343ii,E343II,Dimagnesium phosphate,,
en:e637,E637,Ethyl maltol,21059.0,Ethyl maltol|2-Ethyl-3-hydroxy-4H-pyran-4-one|4940-11-8|2-Ethyl-3-hydroxy-4-pyrone|Ethylmaltol
en:e335,E335,Sodium tartrates,,
en:e903,E903,Carnauba wax,,
en:e921,E921,L-cysteine hydrochloride monohydrate,5862.0,L-cysteine|cysteine|52-90-4|Cystein|Thioserine
en:e945,E945,chloropentafluoroethane,6430.0,"CHLOROPENTAFLUOROETHANE|76-15-3|1-Chloro-1,1,2,2,2-pentafluoroethane|Pentafluoroethyl chloride|Ethane, chloropentafluoro-"
en:e425ii,E425II,Konjac glucomannan,,
en:e541ii,E541II,Alkaline sodium aluminium phosphate,,
en:e330,E330,Citric acid,311.0,"citric acid|77-92-9|2-hydroxypropane-1,2,3-tricarboxylic acid|Citric acid, anhydrous|Aciletten"
en:e234,E234,Nisin,16129667.0,1414-45-5|Ambicin N|Nisitrol|DTXSID20893678|Microgard MG 300
en:e464,E464,Hydroxypropyl methyl cellulose,,
en:e440b,E440B,pectin amide,,
