id,e_code,nombre,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason,efsa_status,traffic_light
en:e500ii,E500II,Sodium hydrogen carbonate,0.0649,0.21,110,40,0.372,44.0,Low negative evidence,APROVED,SEGURO
en:e357,E357,Potassium adipate,0.0875,0.2,104,37,0.356,51.0,Low negative evidence,APPROVED,SEGURO
en:e290,E290,Carbon dioxide,0.4082,1.0,90483,34609,0.382,40.0,High negative evidence,APROVED,EVITAR
en:e201,E201,Sodium sorbate,0.0876,0.23,138,64,0.466,64.0,Low negative evidence,APPROVED,SEGURO
en:e905ci,E905CI,Microcrystalline wax,0.0109,0.09,19,2,0.118,50.0,Low negative evidence,APROVED,SEGURO
en:e339i,E339I,Monosodium phosphate,0.0613,0.2,99,34,0.345,15.0,Low negative evidence,APROVED,SEGURO
en:e965,E965,maltitol,0.1296,0.32,251,107,0.428,52.0,Low negative evidence,APPROVED,SEGURO
en:e223,E223,Sodium metabisulphite,0.0761,0.26,171,55,0.327,62.0,Low negative evidence,APPROVED,EVITAR
en:e1451,E1451,Acetylated oxidised starch,0.1023,0.23,132,70,0.538,35.0,Low negative evidence,APPROVED,SEGURO
en:e951,E951,Aspartame,0.3801,0.65,1065,573,0.539,60.0,High negative evidence,RESTRICTED,EVITAR
en:e962,E962,Salt of aspartame-acesulfame,0.03,0.08,16,7,0.443,62.0,Low negative evidence,RESTRICTED,PRECAUCION
en:e1443,E1443,Hydroxy propyl distarch glycerol,0.0133,0.04,8,3,0.393,57.0,Insufficient research (8 papers),APROVED,SEGURO
en:e906,E906,Benzoin resin,0.0133,0.08,16,2,0.165,80.0,Low negative evidence,APROVED,SEGURO
en:e460i,E460I,Microcrystalline cellulose,0.1967,0.8,1584,433,0.274,32.0,Low negative evidence,APROVED,SEGURO
en:e399,E399,Calcium lactobionate,0.0576,0.18,82,28,0.348,65.0,Low negative evidence,APROVED,SEGURO
en:e307a,E307A,D-Alpha-tocopherol,0.19,0.26,163,107,0.661,34.0,Low negative evidence,APROVED,SEGURO
en:e960a,E960A,Steviol glycosides from Stevia,0.1398,0.32,255,115,0.453,38.0,Low negative evidence,APROVED,SEGURO
en:e160bii,E160BII,Annatto norbixin,0.0071,0.01,2,0,0.375,50.0,Insufficient research (2 papers),APROVED,SEGURO
en:e938,E938,Argon,0.082,1.0,10985,1158,0.105,43.0,Low negative evidence,APPROVED,SEGURO
xx:e390,E390,Desconocido,0.1058,0.23,134,60,0.455,83.0,Low negative evidence,APROVED,SEGURO
en:e1421,E1421,Acetylated starch,0.0722,0.19,91,32,0.353,48.0,Low negative evidence,APROVED,SEGURO
en:e452ii,E452II,Potassium polyphosphate,0.1754,0.36,323,153,0.476,27.0,Low negative evidence,APROVED,SEGURO
en:e511,E511,Magnesium chloride,0.4094,1.0,2777,1208,0.435,25.0,High negative evidence,APPROVED,EVITAR
en:e411,E411,E411 food additive,0.0602,0.15,60,25,0.42,77.0,Low negative evidence,APROVED,SEGURO
en:e440aiv,E440AIV,Ammonium Pectate,0.0499,0.12,34,17,0.51,33.0,Low negative evidence,APROVED,SEGURO
en:e472e,E472E,Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,0.0057,0.02,3,2,0.667,100.0,Insufficient research (3 papers),APROVED,SEGURO
en:e451i,E451I,Pentasodium triphosphate,0.0217,0.04,9,1,0.192,25.0,Insufficient research (9 papers),APROVED,SEGURO
en:e160f,E160F,Ethyl ester of beta-apo-8'-carotenic acid (C 30),0.0,0.0,0,0,0.0,0.0,No scientific literature found,APROVED,SEGURO
en:e313,E313,Ethyl gallate,0.0709,0.26,173,52,0.306,54.0,Low negative evidence,APROVED,SEGURO
en:e960,E960,Steviol glycosides,0.1943,0.36,320,155,0.485,53.0,Low negative evidence,RESTRICTED,PRECAUCION
en:e427,E427,Cassia gum,0.0474,0.17,72,20,0.291,64.0,Low negative evidence,APPROVED,SEGURO
en:e527,E527,Ammonium hydroxide,0.1526,0.68,1164,315,0.271,46.0,Low negative evidence,APPROVED,SEGURO
en:e107,E107,Yellow 2G,0.1264,0.32,257,116,0.453,67.0,Low negative evidence,APROVED,SEGURO
en:e470aiii,E470AIII,Calcium salts of fatty acids,0.024,0.05,45,19,0.433,3.0,Low negative evidence,APROVED,SEGURO
en:e450ii,E450II,Trisodium diphosphate,0.0286,0.11,28,11,0.394,37.0,Low negative evidence,APROVED,SEGURO
en:e544,E544,Calcium polyphosphate,0.0405,0.19,91,26,0.291,28.0,Low negative evidence,APROVED,SEGURO
en:e307,E307,Alpha-tocopherol,0.448,1.0,8374,5274,0.63,36.0,High negative evidence,APPROVED,EVITAR
en:e1401,E1401,Acid-treated modified starch,0.0192,0.09,19,5,0.27,56.0,Low negative evidence,APROVED,SEGURO
en:e444,E444,Sucrose acetate isobutyrate,0.0689,0.16,64,33,0.519,56.0,Low negative evidence,APPROVED,SEGURO
en:e927b,E927B,Carbamide,0.0673,0.5,621,91,0.148,51.0,Low negative evidence,APROVED,SEGURO
en:e1430,E1430,Distarch glycerine,0.0106,0.06,9,2,0.262,62.0,Insufficient research (9 papers),APROVED,SEGURO
en:e332,E332,Potassium citrates,0.3505,0.78,1516,602,0.397,30.0,High negative evidence,APPROVED,EVITAR
en:e514ii,E514II,Sodium hydrogen sulphate,0.0042,0.03,4,1,0.25,100.0,Insufficient research (4 papers),APROVED,SEGURO
en:e14xx,E14XX,Modified Starch,0.1491,0.54,724,121,0.168,33.0,Low negative evidence,APROVED,SEGURO
en:e132,E132,Indigotine,0.0937,0.3,219,80,0.366,66.0,Low negative evidence,APPROVED,SEGURO
en:e917,E917,potassium iodate,0.0689,0.25,161,61,0.38,61.0,Low negative evidence,APROVED,SEGURO
en:e368,E368,ammonium fumarate,0.0539,0.16,61,23,0.378,68.0,Low negative evidence,APROVED,SEGURO
en:e440i,E440I,non-amidated pectines,0.0,0.0,0,0,0.0,0.0,No scientific literature found,APROVED,SEGURO
en:e450v,E450V,Tetrapotassium diphosphate,0.0012,0.04,9,0,0.076,40.0,Insufficient research (9 papers),APROVED,SEGURO
en:e384,E384,Isopropyl citrates,0.0462,0.15,56,21,0.387,62.0,Low negative evidence,APROVED,SEGURO
en:e226,E226,Calcium sulphite,0.0439,0.18,84,24,0.288,69.0,Low negative evidence,APPROVED,EVITAR
en:e942,E942,Nitrous oxide,0.3595,1.0,12703,3832,0.302,53.0,High negative evidence,APPROVED,EVITAR
en:e280,E280,Propionic acid,0.3606,1.0,6533,2878,0.441,21.0,High negative evidence,APPROVED,EVITAR
en:e470ai,E470AI,Sodium salts of fatty acids,0.0575,0.02,7,3,0.493,25.0,Insufficient research (7 papers),APROVED,SEGURO
en:e343ii,E343II,Dimagnesium phosphate,0.0071,0.04,8,2,0.3,33.0,Insufficient research (8 papers),APROVED,SEGURO
en:e637,E637,Ethyl maltol,0.0885,0.17,76,31,0.408,56.0,Low negative evidence,APROVED,SEGURO
en:e335,E335,Sodium tartrates,0.162,0.53,713,248,0.349,39.0,Low negative evidence,APPROVED,SEGURO
en:e903,E903,Carnauba wax,0.0453,0.27,178,21,0.119,37.0,Low negative evidence,APPROVED,SEGURO
en:e921,E921,L-cysteine hydrochloride monohydrate,0.0098,0.1,24,3,0.125,50.0,Low negative evidence,APROVED,SEGURO
en:e945,E945,chloropentafluoroethane,0.0276,0.09,20,8,0.411,67.0,Low negative evidence,APROVED,SEGURO
en:e425ii,E425II,Konjac glucomannan,0.1253,0.45,514,96,0.187,28.0,Low negative evidence,APROVED,SEGURO
en:e541ii,E541II,Alkaline sodium aluminium phosphate,0.0034,0.01,2,1,0.5,0.0,Insufficient research (2 papers),APROVED,SEGURO
en:e330,E330,Citric acid,0.5037,1.0,19561,9335,0.477,36.0,High negative evidence,APPROVED,EVITAR
en:e234,E234,Nisin,0.2745,0.95,2255,873,0.387,33.0,Moderate concerns (SSI: 27.4%),APPROVED,PRECAUCION
en:e464,E464,Hydroxypropyl methyl cellulose,0.039,0.24,142,25,0.179,38.0,Low negative evidence,APPROVED,SEGURO
en:e440b,E440B,pectin amide,0.0,0.01,1,1,1.0,100.0,Insufficient research (1 papers),APROVED,SEGURO
en:e316,E316,sodium erythorbate,0.0802,0.23,131,49,0.379,38.0,Low negative evidence,APPROVED,SEGURO
en:e557,E557,hemimorphite,0.0406,0.15,57,16,0.283,75.0,Low negative evidence,APROVED,SEGURO
en:e488,E488,Ethoxylated Mono- and Di-Glycerides,0.0561,0.14,48,21,0.452,76.0,Low negative evidence,APROVED,SEGURO
en:e457,E457,Alpha-Cyclodextrine,0.0604,0.15,53,21,0.411,50.0,Low negative evidence,APROVED,SEGURO
en:e340iii,E340III,Tripotassium phosphate,-0.0001,0.02,8,0,0.075,0.0,Insufficient research (8 papers),APROVED,SEGURO
en:e130,E130,Indanthrene blue RS,0.0685,0.24,143,50,0.354,63.0,Low negative evidence,APROVED,SEGURO
en:e420ii,E420II,Sorbitol syrup,0.0,0.01,1,0,0.0,20.0,Insufficient research (1 papers),APROVED,SEGURO
en:e282,E282,calcium propionate,0.0949,0.29,205,79,0.388,34.0,Low negative evidence,APPROVED,SEGURO
en:e940,E940,Dichlorodifluoromethane,0.0789,0.21,111,37,0.336,42.0,Low negative evidence,APROVED,SEGURO
en:e472d,E472D,Tartaric acid esters of mono- and diglycerides of fatty acids,0.0069,0.02,2,2,1.0,100.0,Insufficient research (2 papers),APROVED,SEGURO
en:e452v,E452V,Ammonium polyphosphate,0.0524,0.36,319,23,0.072,40.0,Low negative evidence,APROVED,SEGURO
en:e471,E471,Mono- and diglycerides of fatty acids,0.0649,0.15,59,23,0.407,46.0,Low negative evidence,APPROVED,SEGURO
en:e239,E239,Hexamethylene tetramine,0.0609,0.25,151,43,0.291,68.0,Low negative evidence,APPROVED,SEGURO
en:e571,E571,E571,0.0286,0.11,28,9,0.321,80.0,Low negative evidence,APROVED,SEGURO
en:e469,E469,Enzymatically hydrolysed carboxymethylcellulose,0.0566,0.17,72,27,0.386,65.0,Low negative evidence,APPROVED,SEGURO
en:e1000,E1000,Cholic acid,0.6391,0.9,2039,1178,0.578,27.0,High negative evidence,APPROVED,EVITAR
en:e173,E173,Aluminium,0.2549,1.0,10055,2619,0.261,49.0,Moderate concerns (SSI: 25.5%),RESTRICTED,PRECAUCION
en:e285,E285,Sodium tetraborate (borax),0.0654,0.2,98,33,0.346,70.0,Low negative evidence,APROVED,SEGURO
en:e101i,E101I,Riboflavin,0.6887,1.0,8497,4670,0.55,46.0,High negative evidence,APROVED,EVITAR
en:e1209,E1209,Polyvinyl alcohol-polyethylene glycol-graft-co-polymer,0.0063,0.08,15,1,0.108,67.0,Low negative evidence,APPROVED,SEGURO
en:e503i,E503I,Ammonium carbonate,0.0595,0.31,244,47,0.193,30.0,Low negative evidence,APROVED,SEGURO
en:e501ii,E501II,Potassium hydrogen carbonate,0.0135,0.08,16,4,0.281,80.0,Low negative evidence,APROVED,SEGURO
en:e133,E133,Brilliant blue FCF,0.0777,0.33,277,74,0.268,66.0,Low negative evidence,APPROVED,SEGURO
en:e261,E261,Potassium acetate,0.1211,0.45,517,144,0.28,24.0,Low negative evidence,APPROVED,SEGURO
en:e431,E431,Polyoxyethylene (40) stearate,0.0458,0.15,53,15,0.292,65.0,Low negative evidence,APPROVED,SEGURO
en:e905,E905,Synthetic wax,0.0319,0.12,34,9,0.288,43.0,Low negative evidence,APROVED,SEGURO
en:e161j,E161J,Astaxanthin,0.3767,0.93,2148,965,0.45,27.0,High negative evidence,APROVED,EVITAR
en:e333,E333,Calcium citrates,0.526,0.94,2228,1102,0.495,37.0,High negative evidence,APPROVED,EVITAR
en:e1420,E1420,Acetylated starch,0.0797,0.19,93,35,0.379,58.0,Low negative evidence,APPROVED,SEGURO
en:e470aii,E470AII,Potassium salts of fatty acids,0.0162,0.03,10,4,0.48,17.0,Low negative evidence,APROVED,SEGURO
en:e558,E558,Bentonite,0.2154,1.0,4338,911,0.21,39.0,Moderate concerns (SSI: 21.5%),APROVED,PRECAUCION
en:e487,E487,sodium dodecyl sulfate,0.6161,1.0,31191,14975,0.48,31.0,High negative evidence,APROVED,EVITAR
en:e902,E902,Candelilla wax,0.0339,0.19,88,9,0.103,47.0,Low negative evidence,APPROVED,SEGURO
en:e458,E458,Gamma-Cyclodextrine,0.0512,0.14,48,24,0.504,62.0,Low negative evidence,APROVED,SEGURO
en:e966,E966,Lactitol,0.1078,0.25,154,77,0.504,51.0,Low negative evidence,APPROVED,SEGURO
en:e370,E370,1‚4-Heptonolactone,0.0584,0.17,72,24,0.342,71.0,Low negative evidence,APPROVED,SEGURO
en:e500i,E500I,Sodium carbonate,0.2097,0.83,1722,474,0.276,41.0,Moderate concerns (SSI: 21.0%),APROVED,PRECAUCION
en:e900a,E900A,Dimethyl polysiloxane,0.0582,0.15,58,16,0.279,62.0,Low negative evidence,APROVED,SEGURO
en:e252,E252,Potassium nitrate,0.1784,0.58,831,302,0.364,49.0,Low negative evidence,RESTRICTED,PRECAUCION
en:e170,E170,Calcium carbonates,0.0872,0.35,315,89,0.283,63.0,Low negative evidence,APPROVED,SEGURO
en:e1210,E1210,Carbomer,0.033,0.21,115,18,0.159,55.0,Low negative evidence,APPROVED,SEGURO
en:e1450,E1450,Starch sodium octenyl succinate,0.0389,0.08,18,8,0.472,70.0,Low negative evidence,APPROVED,SEGURO
en:e375,E375,Nicotinic acid,0.8681,1.0,5987,2363,0.395,43.0,High negative evidence,APPROVED,EVITAR
en:e141i,E141I,Copper complexes of chlorophylls,0.0129,0.01,3,2,0.833,0.0,Insufficient research (3 papers),APROVED,SEGURO
en:e283,E283,Potassium propionate,0.0756,0.19,90,38,0.427,60.0,Low negative evidence,APPROVED,SEGURO
en:e638,E638,E638,0.041,0.11,31,10,0.332,64.0,Low negative evidence,APROVED,SEGURO
en:e296,E296,Malic acid,0.4457,1.0,4196,2052,0.489,29.0,High negative evidence,APROVED,EVITAR
en:e175,E175,Gold,0.2146,1.0,107118,25749,0.24,60.0,Moderate concerns (SSI: 21.5%),RESTRICTED,PRECAUCION
en:e1400,E1400,Dextrin,0.2408,0.65,1054,434,0.412,29.0,Moderate concerns (SSI: 24.1%),APROVED,PRECAUCION
en:e359,E359,ammonium adipate,0.0522,0.16,65,23,0.358,73.0,Low negative evidence,APROVED,SEGURO
en:e943a,E943A,Butane,0.1776,1.0,2914,682,0.234,42.0,Low negative evidence,APROVED,SEGURO
en:e472g,E472G,Succinylated monoglycerides,0.024,0.03,6,5,0.833,67.0,Insufficient research (6 papers),APROVED,SEGURO
en:e341i,E341I,Monocalcium phosphate,0.0522,0.28,190,45,0.24,9.0,Low negative evidence,APROVED,SEGURO
en:e905a,E905A,mineral oil,0.3628,0.92,2104,717,0.341,32.0,High negative evidence,APROVED,EVITAR
en:e900,E900,Dimethylpolysiloxane and Methylphenylpolysiloxane,0.0173,0.1,26,6,0.261,71.0,Low negative evidence,APPROVED,SEGURO
en:e154,E154,Brown FK,0.088,0.25,162,61,0.377,70.0,Low negative evidence,APROVED,SEGURO
en:e1517,E1517,Glyceryl diacetate,0.0234,0.1,27,5,0.194,33.0,Low negative evidence,APROVED,SEGURO
en:e140ii,E140II,Chlorophyllins,0.0911,0.11,29,14,0.512,38.0,Low negative evidence,APROVED,SEGURO
en:e340ii,E340II,Dipotassium phosphate,0.0624,0.12,34,16,0.472,50.0,Low negative evidence,APROVED,SEGURO
en:e250,E250,Sodium nitrite,0.6116,0.91,2072,1170,0.565,24.0,High negative evidence,RESTRICTED,EVITAR
en:e322i,E322I,Lecithin,0.7819,1.0,4922,2191,0.445,43.0,High negative evidence,APROVED,EVITAR
en:e354,E354,Calcium tartrate,0.0817,0.2,98,39,0.401,53.0,Low negative evidence,APROVED,SEGURO
en:e172,E172,Iron oxides and iron hydroxides,0.1868,0.57,815,318,0.391,59.0,Low negative evidence,APPROVED,SEGURO
en:e918,E918,Nitrogen oxides,0.3385,1.0,7255,2932,0.404,46.0,Moderate concerns (SSI: 33.8%),APROVED,PRECAUCION
en:e367,E367,Calcium fumarate,0.0627,0.19,94,38,0.413,56.0,Low negative evidence,APROVED,SEGURO
en:e452iii,E452III,Sodium calcium polyphosphate,0.0867,0.26,172,61,0.359,42.0,Low negative evidence,APROVED,SEGURO
en:e336,E336,Potassium tartrates,0.1678,0.49,593,203,0.344,33.0,Low negative evidence,APPROVED,SEGURO
en:e428,E428,Gelatine,0.1503,0.61,945,248,0.263,46.0,Low negative evidence,APPROVED,SEGURO
en:e214,E214,Ethyl p-hydroxybenzoate,0.1183,0.26,167,82,0.492,64.0,Low negative evidence,APPROVED,SEGURO
en:e163f,E163F,Petunidin,0.1033,0.37,337,124,0.368,56.0,Low negative evidence,APROVED,SEGURO
en:e160bi,E160BI,Annatto bixin,0.0486,0.14,47,18,0.403,31.0,Low negative evidence,APROVED,SEGURO
en:e310,E310,Propyl gallate,0.3135,0.55,752,443,0.59,31.0,Moderate concerns (SSI: 31.3%),RESTRICTED,PRECAUCION
en:e528,E528,Magnesium hydroxide,0.1101,0.58,832,183,0.22,52.0,Low negative evidence,APPROVED,SEGURO
en:e472c,E472C,Citric acid esters of mono- and diglycerides of fatty acids,0.0042,0.01,3,1,0.333,0.0,Insufficient research (3 papers),APROVED,SEGURO
en:e1510,E1510,Ethanol,0.4063,1.0,98314,42628,0.434,38.0,High negative evidence,APROVED,EVITAR
en:e308,E308,Gamme-tocopherol,0.0613,0.17,75,27,0.366,79.0,Low negative evidence,APPROVED,EVITAR
en:e222,E222,Sodium bisulphite,0.1488,0.28,195,109,0.562,64.0,Low negative evidence,APPROVED,SEGURO
en:e110,E110,Sunset yellow FCF,0.0935,0.36,323,104,0.322,60.0,Low negative evidence,APPROVED,SEGURO
en:e1102,E1102,Glucose oxidase,0.3883,1.0,6503,3128,0.481,51.0,High negative evidence,APROVED,EVITAR
en:e350i,E350I,Sodium malate,0.0057,0.02,8,1,0.188,0.0,Insufficient research (8 papers),APROVED,SEGURO
en:e946,E946,octafluorocyclobutane,0.0245,0.13,43,11,0.275,42.0,Low negative evidence,APROVED,SEGURO
en:e640,E640,Glycine and its sodium salt,0.3239,0.72,1301,672,0.517,24.0,Moderate concerns (SSI: 32.4%),APPROVED,PRECAUCION
en:e161b,E161B,Lutein,0.3954,1.0,3822,2083,0.545,56.0,High negative evidence,APROVED,EVITAR
en:e219,E219,Sodium methyl p-hydroxybenzoate,0.0732,0.24,139,53,0.386,68.0,Low negative evidence,APPROVED,SEGURO
en:e225,E225,Calcium Disulphite,0.0678,0.21,106,41,0.392,74.0,Low negative evidence,APROVED,EVITAR
en:e963,E963,Tagatose,0.1929,0.45,508,294,0.58,35.0,Low negative evidence,APROVED,SEGURO
en:e241,E241,Gum Guaicum,0.056,0.2,102,28,0.278,66.0,Low negative evidence,APROVED,SEGURO
en:e905cii,E905CII,Paraffin wax,0.1662,0.59,863,271,0.314,56.0,Low negative evidence,APROVED,SEGURO
en:e504,E504,Magnesium carbonates,0.0632,0.19,93,30,0.325,48.0,Low negative evidence,APPROVED,SEGURO
en:e1001,E1001,Choline salt,0.0429,0.12,35,12,0.357,44.0,Low negative evidence,APPROVED,SEGURO
en:e404,E404,Calcium alginate,0.228,0.75,1394,441,0.317,40.0,Moderate concerns (SSI: 22.8%),APPROVED,PRECAUCION
en:e450iii,E450III,Tetrasodium diphosphate,0.006,0.02,4,1,0.312,25.0,Insufficient research (4 papers),APROVED,SEGURO
en:e312,E312,Dodecyl gallate,0.0598,0.21,109,34,0.32,60.0,Low negative evidence,RESTRICTED,PRECAUCION
en:e1405,E1405,Enzyme treated starch,0.2648,0.59,863,450,0.522,25.0,Moderate concerns (SSI: 26.5%),APROVED,PRECAUCION
en:e124,E124,Ponceau 4r,0.1032,0.37,342,108,0.317,57.0,Low negative evidence,APPROVED,SEGURO
en:e621,E621,Monosodium glutamate,0.3537,0.71,1274,618,0.485,27.0,High negative evidence,APPROVED,EVITAR
en:e150b,E150B,Caustic sulphite caramel,0.0,0.0,0,0,0.0,0.0,No scientific literature found,APROVED,EVITAR
en:e352i,E352I,Calcium malate,0.0046,0.03,15,4,0.33,0.0,Low negative evidence,APROVED,SEGURO
en:e324,E324,Ethoxyquin,0.3933,0.38,355,247,0.698,20.0,High negative evidence,APROVED,EVITAR
en:e220,E220,Sulphur dioxide,0.1808,0.6,887,259,0.292,72.0,Low negative evidence,APPROVED,SEGURO
en:e509,E509,Calcium chloride,0.403,1.0,6704,2262,0.337,21.0,High negative evidence,APPROVED,EVITAR
en:e315,E315,Erythorbic acid,0.0965,0.24,148,71,0.481,59.0,Low negative evidence,APPROVED,SEGURO
en:e642,E642,E642,0.0385,0.11,29,8,0.297,61.0,Low negative evidence,APROVED,SEGURO
en:e1404,E1404,Oxidised starch,0.0409,0.08,18,8,0.451,50.0,Low negative evidence,APPROVED,SEGURO
xx:e386,E386,Desconocido,0.0834,0.23,129,55,0.429,88.0,Low negative evidence,APROVED,SEGURO
en:e409,E409,Arabinogalactan,0.2962,0.87,1891,853,0.451,34.0,Moderate concerns (SSI: 29.6%),APROVED,PRECAUCION
en:e129,E129,Allura red,0.1252,0.4,402,132,0.331,59.0,Low negative evidence,APPROVED,SEGURO
en:e161i,E161I,Citranaxanthin,0.0013,0.02,8,0,0.117,0.0,Insufficient research (8 papers),APROVED,SEGURO
en:e329,E329,Magnesium lactate,0.0631,0.18,84,32,0.387,69.0,Low negative evidence,APROVED,SEGURO
en:e1521,E1521,Polyethylene glycol,0.3352,1.0,14167,4823,0.34,37.0,Moderate concerns (SSI: 33.5%),APROVED,PRECAUCION
en:e420i,E420I,D-sorbitol,0.1512,0.45,499,218,0.439,35.0,Low negative evidence,APROVED,SEGURO
en:e452vi,E452VI,Sodium tripolyphosphate,0.0807,0.44,485,88,0.182,26.0,Low negative evidence,APROVED,SEGURO
en:e922,E922,Potassium persulfate,0.1148,0.44,484,130,0.269,58.0,Low negative evidence,APROVED,SEGURO
en:e472a,E472A,Acetic acid esters of mono- and diglycerides of fatty acids,0.0659,0.05,7,4,0.625,75.0,Insufficient research (7 papers),APROVED,SEGURO
en:e246,E246,Glycolipids,0.5456,1.0,11147,5952,0.534,36.0,High negative evidence,APROVED,EVITAR
en:e905g,E905G,Mineral oil medium and low viscosity class III,0.0024,0.01,1,1,1.0,100.0,Insufficient research (1 papers),APROVED,SEGURO
en:e914,E914,Oxidised polyethylene wax,0.0477,0.16,67,17,0.256,31.0,Low negative evidence,APPROVED,SEGURO
en:e470,E470,Sodium/potassium/calcium and magnesium salts of fatty acids,0.0499,0.11,30,10,0.356,67.0,Low negative evidence,APROVED,SEGURO
en:e570,E570,Fatty acids,0.4843,1.0,143716,73990,0.515,31.0,High negative evidence,APPROVED,EVITAR
en:e433,E433,Polyoxyethylene sorbitan monooleate,0.0544,0.2,97,31,0.325,66.0,Low negative evidence,APPROVED,SEGURO
en:e925,E925,Chlorine,0.3957,1.0,23658,9397,0.397,40.0,High negative evidence,WITHDRAWN,EVITAR
en:e263,E263,Calcium acetate,0.1134,0.36,318,109,0.344,49.0,Low negative evidence,APPROVED,SEGURO
en:e941,E941,Nitrogen,0.3367,1.0,244513,89014,0.364,34.0,Moderate concerns (SSI: 33.7%),APPROVED,PRECAUCION
en:e101ii,E101II,Riboflavin-5′-phosphate,0.1593,0.21,108,50,0.47,25.0,Low negative evidence,APROVED,SEGURO
en:e131,E131,Patent blue v,0.1033,0.31,245,87,0.357,67.0,Low negative evidence,APPROVED,SEGURO
en:e634,E634,Calcium 5'-ribonucleotide,0.0301,0.12,34,14,0.43,42.0,Low negative evidence,APROVED,SEGURO
en:e503ii,E503II,Ammonium hydrogen carbonate,0.0243,0.12,35,9,0.257,50.0,Low negative evidence,APROVED,SEGURO
en:e341iii,E341III,Tricalcium phosphate,0.1676,1.0,2890,674,0.233,34.0,Low negative evidence,APROVED,SEGURO
en:e331,E331,Sodium citrates,0.348,1.0,5476,2020,0.369,39.0,Moderate concerns (SSI: 34.8%),APPROVED,PRECAUCION
en:e919,E919,Nitrosyl chloride,0.0308,0.16,66,15,0.241,76.0,Low negative evidence,APROVED,SEGURO
en:e440ii,E440II,Amidated pectin,0.0287,0.1,27,7,0.275,42.0,Low negative evidence,APROVED,SEGURO
en:e554,E554,Sodium aluminium silicate,0.0528,0.12,36,16,0.465,52.0,Low negative evidence,APPROVED,SEGURO
en:e500iii,E500III,Sodium sesquicarbonate,0.0116,0.04,25,7,0.311,5.0,Low negative evidence,APROVED,SEGURO
en:e470a,E470A,Sodium/potassium and calcium salts of fatty acids,0.032,0.02,6,6,1.054,25.0,Insufficient research (6 papers),APROVED,SEGURO
en:e450vi,E450VI,Dicalcium diphosphate,0.0098,0.05,12,4,0.394,25.0,Low negative evidence,APROVED,SEGURO
en:e237,E237,Sodium formiate,0.0535,0.19,94,28,0.305,62.0,Low negative evidence,APPROVED,SEGURO
en:e920,E920,l-cysteine,0.5926,1.0,6837,4377,0.64,35.0,High negative evidence,APPROVED,EVITAR
en:e467,E467,Ethulose,0.0589,0.14,50,19,0.392,75.0,Low negative evidence,APROVED,SEGURO
en:e514i,E514I,Sodium sulphate,0.135,0.38,364,130,0.358,28.0,Low negative evidence,APROVED,SEGURO
en:e572,E572,Magnesium stearate,0.0555,0.17,71,22,0.312,57.0,Low negative evidence,APROVED,SEGURO
en:e472,E472,acid esters of mono- and diglycerides of fatty acids,0.0389,0.14,50,15,0.31,76.0,Low negative evidence,APROVED,SEGURO
en:e559,E559,Aluminium silicate,0.0479,0.2,97,23,0.241,53.0,Low negative evidence,APPROVED,SEGURO
en:e459,E459,Beta-cyclodextrine,0.0591,0.18,80,31,0.392,61.0,Low negative evidence,APPROVED,SEGURO
en:e281,E281,Sodium propionate,0.1341,0.36,330,132,0.401,27.0,Low negative evidence,APPROVED,SEGURO
en:e541i,E541I,Acid sodium aluminium phosphate,0.0309,0.03,6,3,0.5,50.0,Insufficient research (6 papers),APROVED,SEGURO
en:e425i,E425I,Konjac gum,0.0675,0.14,46,6,0.13,29.0,Low negative evidence,APROVED,SEGURO
en:e575,E575,Glucono-delta-lactone,0.086,0.34,296,77,0.262,30.0,Low negative evidence,APPROVED,SEGURO
en:e626,E626,Guanylic acid,0.2048,0.27,189,100,0.53,37.0,Moderate concerns (SSI: 20.5%),APPROVED,PRECAUCION
en:e343i,E343I,Monomagnesium phosphate,0.0,0.01,1,0,0.0,100.0,Insufficient research (1 papers),APROVED,SEGURO
en:e475,E475,Polyglycerol esters of fatty acids,0.0506,0.15,53,16,0.302,48.0,Low negative evidence,APPROVED,SEGURO
en:e479b,E479B,Thermally oxidised soya bean oil interacted with mono- and diglycerides of fatty acids,0.0224,0.01,1,2,2.5,0.0,Insufficient research (1 papers),APROVED,SEGURO
en:e451ii,E451II,Pentapotassium triphosphate,0.0,0.01,3,0,0.0,0.0,Insufficient research (3 papers),APROVED,SEGURO
en:e1411,E1411,Distarch glycerol,0.0141,0.06,8,1,0.208,67.0,Insufficient research (8 papers),APROVED,SEGURO
en:e163b,E163B,Delphinidin,0.2133,0.6,915,399,0.436,45.0,Moderate concerns (SSI: 21.3%),APROVED,PRECAUCION
en:e450iv,E450IV,dipotassium dihydrogenpyrophosphate,0.0,0.0,0,0,0.0,0.0,No scientific literature found,APROVED,SEGURO
en:e955,E955,Sucralose,0.2186,0.51,646,288,0.446,56.0,Moderate concerns (SSI: 21.9%),RESTRICTED,PRECAUCION
en:e243,E243,Ethyl lauroyl arginate,0.0708,0.24,142,47,0.333,70.0,Low negative evidence,APROVED,SEGURO
en:e961,E961,Neotame,0.0574,0.2,97,30,0.319,62.0,Low negative evidence,RESTRICTED,PRECAUCION
en:e161f,E161F,Rhodoxanthin,0.0166,0.08,31,7,0.229,15.0,Low negative evidence,APROVED,SEGURO
