nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason,efsa_status
Calcium dihydrogen diphosphate,E450VII,WATCHLIST,0.3079,0.48,572,321,0.562,22.0,Moderate concerns (SSI: 30.8%),APROVED
Magnesium oxide,E530,SAFE,0.1936,1.0,2506,462,0.185,47.0,Low negative evidence,APPROVED
Triethyl citrate,E1505,SAFE,0.0402,0.19,90,17,0.195,39.0,Low negative evidence,APROVED
Thiodipropionic acid,E388,SAFE,0.051,0.17,74,36,0.494,56.0,Low negative evidence,APROVED
Karaya-gum,E416,SAFE,0.1003,0.22,118,44,0.376,62.0,Low negative evidence,APPROVED
Calcium sulphate,E516,SAFE,0.0522,0.29,205,38,0.188,44.0,Low negative evidence,APPROVED
Sodium hydrogen carbonate,E500II,SAFE,0.0649,0.21,110,40,0.372,44.0,Low negative evidence,APROVED
Potassium adipate,E357,SAFE,0.0875,0.2,104,37,0.356,51.0,Low negative evidence,APPROVED
Carbon dioxide,E290,DANGEROUS,0.4082,1.0,90483,34609,0.382,40.0,High negative evidence,APROVED
Sodium sorbate,E201,SAFE,0.0876,0.23,138,64,0.466,64.0,Low negative evidence,APPROVED
Microcrystalline wax,E905CI,SAFE,0.0109,0.09,19,2,0.118,50.0,Low negative evidence,APROVED
Monosodium phosphate,E339I,SAFE,0.0613,0.2,99,34,0.345,15.0,Low negative evidence,APROVED
maltitol,E965,SAFE,0.1296,0.32,251,107,0.428,52.0,Low negative evidence,APPROVED
Sodium metabisulphite,E223,SAFE,0.0761,0.26,171,55,0.327,62.0,Low negative evidence,APPROVED
Acetylated oxidised starch,E1451,SAFE,0.1023,0.23,132,70,0.538,35.0,Low negative evidence,APPROVED
Aspartame,E951,RESTRICTED,0.3801,0.65,1065,573,0.539,60.0,High negative evidence,RESTRICTED
Salt of aspartame-acesulfame,E962,RESTRICTED,0.03,0.08,16,7,0.443,62.0,Low negative evidence,RESTRICTED
Hydroxy propyl distarch glycerol,E1443,UNKNOWN,0.0133,0.04,8,3,0.393,57.0,Insufficient research (8 papers),APROVED
Benzoin resin,E906,SAFE,0.0133,0.08,16,2,0.165,80.0,Low negative evidence,APROVED
Microcrystalline cellulose,E460I,SAFE,0.1967,0.8,1584,433,0.274,32.0,Low negative evidence,APROVED
Calcium lactobionate,E399,SAFE,0.0576,0.18,82,28,0.348,65.0,Low negative evidence,APROVED
D-Alpha-tocopherol,E307A,SAFE,0.19,0.26,163,107,0.661,34.0,Low negative evidence,APROVED
Steviol glycosides from Stevia,E960A,SAFE,0.1398,0.32,255,115,0.453,38.0,Low negative evidence,APROVED
Annatto norbixin,E160BII,UNKNOWN,0.0071,0.01,2,0,0.375,50.0,Insufficient research (2 papers),APROVED
Argon,E938,SAFE,0.082,1.0,10985,1158,0.105,43.0,Low negative evidence,APPROVED
Desconocido,E390,SAFE,0.1058,0.23,134,60,0.455,83.0,Low negative evidence,APROVED
Acetylated starch,E1421,SAFE,0.0722,0.19,91,32,0.353,48.0,Low negative evidence,APROVED
Potassium polyphosphate,E452II,SAFE,0.1754,0.36,323,153,0.476,27.0,Low negative evidence,APROVED
Magnesium chloride,E511,SAFE,0.4094,1.0,2777,1208,0.435,25.0,High negative evidence,APPROVED
E411 food additive,E411,SAFE,0.0602,0.15,60,25,0.42,77.0,Low negative evidence,APROVED
Ammonium Pectate,E440AIV,SAFE,0.0499,0.12,34,17,0.51,33.0,Low negative evidence,APROVED
