id,codigo_e,nombre_limpio,pubchem_cid,pubchem_synonyms,id_original,nombre_referencia,cluster
en:e515ii,E515II,potassium hydrogen sulphate,,,126,potassium hydrogen sulphate,0
en:e339,E339,sodium phosphates,23672064.0,"7558-80-7|Monosodium phosphate|SODIUM DIHYDROGEN PHOSPHATE|Sodium acid phosphate|Sodium phosphate, monobasic",127,sodium phosphates,0
en:e911,E911,fatty acid methyl ester,,,128,fatty acid methyl ester,2
en:e965i,E965I,d-maltitol,,,129,d-maltitol,2
en:e949,E949,hydrogen,783.0,Hydrogen|Molecular hydrogen|Dihydrogen|1333-74-0|Protium,130,hydrogen,1
en:e385,E385,calcium disodium ethylenediaminetetraacetate,6093170.0,Edetate calcium disodium|EDTA calcium disodium|Detoxamin|Edetate calcium disodium anhydrous|Calcium disodium ethylenediaminetetraacetate,131,calcium disodium ethylenediaminetetraacetate,0
en:e304ii,E304II,ascorbyl stearate,,,132,ascorbyl stearate,0
en:e182,E182,orcein,,,133,orcein,3
en:e216,E216,propyl para-hydroxybenzoate,,,134,propyl para-hydroxybenzoate,0
en:e334,E334,l(+)-tartaric acid,,,135,l(+)-tartaric acid,0
en:e560,E560,potassium silicate,,,136,potassium silicate,0
en:e230,E230,biphenyl,7095.0,"Biphenyl|1,1'-Biphenyl|92-52-4|Phenylbenzene|DIPHENYL",137,biphenyl,3
en:e927,E927,azodicarbonamide and carbamide,,,138,azodicarbonamide and carbamide,2
en:e307b,E307B,concentrated tocopherol,,,139,concentrated tocopherol,0
en:e460,E460,cellulose,,,140,cellulose,3
en:e960b,E960B,rebaudioside from multiple gene donors expressed in yarrowia lipolityca,,,141,rebaudioside from multiple gene donors expressed in yarrowia lipolityca,2
en:e944,E944,propane,6334.0,PROPANE|n-Propane|Dimethylmethane|Propyl hydride|74-98-6,142,propane,2
en:e160aii,E160AII,plant carotenes,,,143,plant carotenes,3
en:e631,E631,disodium inosinate,135414245.0,4691-65-0|Disodium 5'-inosinate|Disodium inosinate|Sodium inosinate|Sodium 5'-inosinate,144,disodium inosinate,2
en:e905e,E905E,mineral oil medium viscosity,,,145,mineral oil medium viscosity,2
en:e217,E217,sodium propyl para-hydroxybenzoate,23679044.0,35285-69-9|Propylparaben sodium|Sodium propylparaben|Propyl 4-hydroxybenzoate sodium salt|Sodium propyl 4-hydroxybenzoate,146,sodium propyl para-hydroxybenzoate,0
en:e926,E926,chlorine dioxide,24870.0,CHLORINE DIOXIDE|Alcide|10049-04-4|Chlorine oxide (ClO2)|Chlorine(IV) oxide,147,chlorine dioxide,2
en:e242,E242,dimethyl dicarbonate,12021.0,"Dimethyl carbonate|616-38-6|Methyl carbonate|Carbonic acid, dimethyl ester|Methyl carbonate ((MeO)2CO)",148,dimethyl dicarbonate,0
