id,codigo_e,nombre
en:e905ci,E905CI,E905ci - Microcrystalline wax
en:e339i,E339I,E339i - Monosodium phosphate
en:e965,E965,E965 - maltitol
en:e223,E223,E223 - Sodium metabisulphite
en:e1451,E1451,E1451 - Acetylated oxidised starch
en:e951,E951,E951 - Aspartame
en:e962,E962,E962 - Salt of aspartame-acesulfame
en:e1443,E1443,E1443 - Hydroxy propyl distarch glycerol
en:e906,E906,E906 - Benzoin resin
en:e460i,E460I,E460i - Microcrystalline cellulose
en:e399,E399,E399 - Calcium lactobionate
en:e307a,E307A,E307a - D-Alpha-tocopherol
en:e960a,E960A,E960a - Steviol glycosides from Stevia
en:e160bii,E160BII,E160bii - Annatto norbixin
en:e938,E938,E938 - Argon
xx:e390,E390,Desconocido
en:e1421,E1421,E1421 - Acetylated starch
en:e452ii,E452II,E452ii - Potassium polyphosphate
en:e511,E511,E511 - Magnesium chloride
en:e411,E411,E411 - E411 food additive
en:e440aiv,E440AIV,E440aiv - Ammonium Pectate
en:e472e,E472E,E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids
en:e451i,E451I,E451i - Pentasodium triphosphate
en:e160f,E160F,E160f - Ethyl ester of beta-apo-8'-carotenic acid (C 30)
en:e313,E313,E313 - Ethyl gallate
en:e960,E960,E960 - Steviol glycosides
en:e427,E427,E427 - Cassia gum
en:e527,E527,E527 - Ammonium hydroxide
en:e107,E107,E107 - Yellow 2G
en:e470aiii,E470AIII,E470aiii - Calcium salts of fatty acids
en:e450ii,E450II,E450ii - Trisodium diphosphate
en:e544,E544,E544 - Calcium polyphosphate
en:e307,E307,E307 - Alpha-tocopherol
en:e1401,E1401,E1401 - Acid-treated modified starch
en:e444,E444,E444 - Sucrose acetate isobutyrate
en:e927b,E927B,E927b - Carbamide
en:e1430,E1430,E1430 - Distarch glycerine
en:e332,E332,E332 - Potassium citrates
en:e514ii,E514II,E514ii - Sodium hydrogen sulphate
en:e14xx,E14XX,E14XX - Modified Starch
en:e132,E132,E132 - Indigotine
en:e917,E917,E917 - potassium iodate
en:e368,E368,E368 - ammonium fumarate
en:e440i,E440I,E440i - non-amidated pectines
en:e450v,E450V,E450v - Tetrapotassium diphosphate
en:e384,E384,E384 - Isopropyl citrates
en:e226,E226,E226 - Calcium sulphite
en:e942,E942,E942 - Nitrous oxide
en:e280,E280,E280 - Propionic acid
en:e470ai,E470AI,E470ai - Sodium salts of fatty acids
en:e343ii,E343II,E343ii - Dimagnesium phosphate
en:e637,E637,E637 - Ethyl maltol
en:e335,E335,E335 - Sodium tartrates
en:e903,E903,E903 - Carnauba wax
en:e921,E921,E921 - L-cysteine hydrochloride monohydrate
en:e945,E945,E945 - chloropentafluoroethane
en:e425ii,E425II,E425ii - Konjac glucomannan
en:e541ii,E541II,E541ii - Alkaline sodium aluminium phosphate
en:e330,E330,E330 - Citric acid
en:e234,E234,E234 - Nisin
en:e464,E464,E464 - Hydroxypropyl methyl cellulose
en:e440b,E440B,E440b - pectin amide
en:e316,E316,E316 - sodium erythorbate
en:e557,E557,E557 - hemimorphite
en:e488,E488,E488 - Ethoxylated Mono- and Di-Glycerides
en:e457,E457,E457 - Alpha-Cyclodextrine
en:e340iii,E340III,E340iii - Tripotassium phosphate
en:e130,E130,E130 - Indanthrene blue RS
en:e420ii,E420II,E420ii - Sorbitol syrup
en:e282,E282,E282 - calcium propionate
en:e940,E940,E940 - Dichlorodifluoromethane
en:e472d,E472D,E472d - Tartaric acid esters of mono- and diglycerides of fatty acids
en:e452v,E452V,E452v - Ammonium polyphosphate
en:e471,E471,E471 - Mono- and diglycerides of fatty acids
en:e239,E239,E239 - Hexamethylene tetramine
en:e571,E571,E571
en:e469,E469,E469 - Enzymatically hydrolysed carboxymethylcellulose
en:e1000,E1000,E1000 - Cholic acid
en:e173,E173,E173 - Aluminium
en:e285,E285,E285 - Sodium tetraborate (borax)
en:e101i,E101I,E101i - Riboflavin
en:e1209,E1209,E1209 - Polyvinyl alcohol-polyethylene glycol-graft-co-polymer
en:e503i,E503I,E503i - Ammonium carbonate
